# sweep	energy	spin	maxdim	dmrg_maxerr
1	-7.304937839508057	0.6704485416412354	50	0.00016369234072044492
2	-7.368290901184082	0.6699355840682983	100	5.488912938744761e-5
3	-7.392466068267822	0.6700838804244995	150	5.459099338622764e-5
4	-7.4121270179748535	0.669762134552002	200	6.424360617529601e-5
5	-7.426568031311035	0.6690835356712341	300	2.930049413407687e-5
6	-7.435332298278809	0.6686050891876221	400	1.132895613409346e-5
7	-7.439423561096191	0.6682823896408081	500	4.0750569496594835e-6
8	-7.441030502319336	0.6680670976638794	700	8.29366683774424e-7
9	-7.441651344299316	0.6679472923278809	900	2.126314200268098e-7
10	-7.441928386688232	0.6678602695465088	1200	2.3318124320326206e-8
11	-7.442079544067383	0.6677879095077515	1600	1.4975426454455487e-9
12	-7.442144393920898	0.6677228212356567	2000	1.605298255435983e-10
13	-7.442221164703369	0.6676645874977112	1986	9.050459226500607e-8
14	-7.442281246185303	0.6676076650619507	1898	6.582926204146133e-8
15	-7.442298889160156	0.6675510406494141	1854	7.523055245428623e-8
16	-7.4423441886901855	0.6675004959106445	1743	7.14639369903125e-8
17	-7.442378520965576	0.667449951171875	1660	1.3109531948884978e-7
18	-7.4423909187316895	0.667400598526001	1615	7.684497660420675e-8
19	-7.442441463470459	0.6673531532287598	1593	1.8954889924316376e-7
20	-7.442481517791748	0.6673074960708618	1650	7.50075344058132e-8
21	-7.442502021789551	0.6672536134719849	1673	3.563151551588817e-8
22	-7.442537784576416	0.6672070622444153	1580	1.438231294059733e-7
23	-7.442562580108643	0.6671662330627441	1557	1.389137338492219e-7
24	-7.4425835609436035	0.6671251058578491	1604	7.834798054773273e-8
25	-7.442620754241943	0.6670864224433899	1565	6.138151320556062e-8
26	-7.44262170791626	0.667051374912262	1654	2.986346459010747e-8
27	-7.442648410797119	0.6670113205909729	1571	6.497626969803605e-8
28	-7.442670822143555	0.666971743106842	1525	7.303714255613158e-8
29	-7.442697525024414	0.666933536529541	1567	9.178484816629862e-8
30	-7.4427266120910645	0.6669008135795593	1482	3.339291865245286e-8
31	-7.442749500274658	0.6668746471405029	1561	2.382013235546765e-7
32	-7.442749977111816	0.6668424010276794	1488	3.139994220191511e-8
33	-7.442755222320557	0.6668106317520142	1550	6.554049747364843e-8
34	-7.4427971839904785	0.6667912006378174	1502	1.4600405506826064e-7
35	-7.442814350128174	0.6667696237564087	1462	9.090812369549894e-8
