# sweep	energy	spin	maxdim	dmrg_maxerr
1	-7.307938575744629	0.6768686175346375	50	0.00012673302262555808
2	-7.369594097137451	0.6723605394363403	100	6.172724533826113e-5
3	-7.3999505043029785	0.672343909740448	150	4.9478112487122416e-5
4	-7.425549030303955	0.6718041300773621	200	5.435861385194585e-5
5	-7.439413547515869	0.6711450219154358	300	1.103506929212017e-5
6	-7.4439921379089355	0.6707438230514526	400	1.8103537513525225e-6
7	-7.445509433746338	0.6705172061920166	500	4.618767093234055e-7
8	-7.446182727813721	0.6704068779945374	700	5.015876070046943e-8
9	-7.446519374847412	0.6703166961669922	900	7.740574403669598e-9
10	-7.4466938972473145	0.6702598929405212	1200	7.347720210049147e-10
11	-7.446822166442871	0.6701914072036743	1450	9.997120492544198e-11
12	-7.446877956390381	0.6701322793960571	1391	9.993322142021199e-11
13	-7.446937084197998	0.6700897812843323	1330	3.038895499685168e-7
14	-7.447002410888672	0.6700320839881897	1264	8.923666428017896e-8
15	-7.447037696838379	0.669964075088501	1229	1.4770391487672896e-7
16	-7.447042942047119	0.6699047088623047	1225	7.866566420489107e-8
17	-7.447093486785889	0.6698432564735413	1251	4.984705626043251e-8
18	-7.447109699249268	0.6697826385498047	1253	2.2290748802333837e-7
19	-7.447144985198975	0.6697315573692322	1233	1.2439595309388096e-7
20	-7.447203159332275	0.6696664094924927	1231	2.4475863824591215e-7
21	-7.447228908538818	0.6696001887321472	1202	1.7187154810471839e-7
22	-7.44728422164917	0.6695573329925537	1222	4.611266746223919e-8
23	-7.4473066329956055	0.6695109009742737	1234	7.63183507501708e-8
24	-7.447302341461182	0.6694464683532715	1243	7.49083071127643e-8
25	-7.447342395782471	0.6694088578224182	1202	6.444713562814286e-8
26	-7.447369575500488	0.6693480610847473	1189	9.652183052821783e-8
27	-7.447397708892822	0.6693110466003418	1235	7.07610539052439e-8
28	-7.447441101074219	0.6692598462104797	1272	6.475262637195556e-8
29	-7.447445392608643	0.669214129447937	1239	1.2653475778279244e-7
30	-7.447460174560547	0.6691644191741943	1237	1.1497340324240213e-7
31	-7.44749116897583	0.6691455245018005	1218	9.512570642300489e-8
32	-7.447510719299316	0.6691043376922607	1228	1.2914601654756552e-7
33	-7.447525501251221	0.6690841913223267	1226	6.427407583942113e-8
34	-7.447544574737549	0.6690423488616943	1208	1.3356959982502303e-7
35	-7.447547912597656	0.669016420841217	1218	9.460559624585585e-8
