# sweep	energy	spin	maxdim	dmrg_maxerr
1	-7.3130202293396	0.6701803207397461	50	7.670070772292092e-5
2	-7.367746829986572	0.6693118810653687	100	2.4480958018102683e-5
3	-7.39893913269043	0.6694766283035278	150	2.6640358555596322e-5
4	-7.421485900878906	0.6689975261688232	200	1.4399204701476265e-5
5	-7.433478832244873	0.6685489416122437	300	1.5510329376411391e-6
6	-7.438709259033203	0.6682921648025513	400	2.4517640895282966e-7
7	-7.440720558166504	0.6681512594223022	500	5.7336979608635374e-8
8	-7.441526889801025	0.6680513620376587	700	4.4544621324860145e-9
9	-7.441869735717773	0.6679755449295044	900	1.0183955900799901e-9
10	-7.442038536071777	0.6679058074951172	1198	1.0216205659219213e-10
11	-7.442145824432373	0.6678493618965149	1209	9.985447885219045e-11
12	-7.442195415496826	0.6677943468093872	1196	9.998415290146667e-11
13	-7.442235469818115	0.6677421927452087	1190	6.469483082582883e-8
14	-7.442271709442139	0.6676934957504272	1197	9.536643119645305e-8
15	-7.442323207855225	0.6676452159881592	1191	5.989180351662071e-8
16	-7.442322731018066	0.6675980687141418	1176	8.173796572918945e-8
17	-7.442370414733887	0.6675528287887573	1175	1.275214884799425e-7
18	-7.44241189956665	0.6675066947937012	1182	1.193219816286728e-7
19	-7.44242000579834	0.6674625277519226	1172	1.4867060826873058e-7
20	-7.442442893981934	0.6674205660820007	1182	1.4813304005656391e-7
21	-7.4424943923950195	0.6673797369003296	1187	1.3278823018936237e-7
22	-7.442508220672607	0.6673346757888794	1178	9.750501561711644e-8
23	-7.442534446716309	0.6672943234443665	1184	6.010775166487292e-8
24	-7.442566394805908	0.6672544479370117	1177	8.789633909600525e-8
25	-7.442563056945801	0.6672136783599854	1184	2.615334970812455e-8
26	-7.442592620849609	0.6671775579452515	1195	5.560620763844781e-8
27	-7.442622661590576	0.6671420335769653	1199	7.065642648740322e-8
28	-7.4426445960998535	0.667106568813324	1190	5.989028295516619e-8
29	-7.442657470703125	0.6670712232589722	1167	1.0774452618989017e-7
30	-7.442688941955566	0.6670404672622681	1213	4.7054275142954793e-8
31	-7.442702770233154	0.6670075058937073	1181	4.990332769239103e-8
32	-7.442726135253906	0.6669797301292419	1193	3.2248397729972567e-8
33	-7.442746162414551	0.6669501662254333	1193	1.4493706146367913e-7
34	-7.442758560180664	0.6669223308563232	1185	1.7489961479100202e-8
35	-7.442777633666992	0.6668979525566101	1196	6.280259867708082e-8
36	-7.442783355712891	0.6668704152107239	1202	2.2455627401996026e-7
37	-7.4427924156188965	0.6668492555618286	1191	4.4609457461319835e-8
38	-7.442802906036377	0.666826069355011	1190	4.404083497888678e-8
39	-7.442839622497559	0.6668071150779724	1177	6.260076901298817e-8
40	-7.442836284637451	0.6667883396148682	1207	1.5476128112368315e-7
41	-7.442843914031982	0.6667677760124207	1184	6.079566183814222e-9
42	-7.442860126495361	0.6667512655258179	1192	1.8266648282860842e-7
43	-7.442864894866943	0.6667362451553345	1181	1.040381825134773e-8
44	-7.442864418029785	0.6667192578315735	1159	1.1173078462434205e-7
45	-7.44288444519043	0.6667061448097229	1191	7.152289072109852e-8
46	-7.44288969039917	0.6666905283927917	1181	1.3049124447661598e-7
47	-7.442890644073486	0.6666785478591919	1178	3.2096071578280316e-8
48	-7.442895889282227	0.6666651964187622	1176	9.468895001418787e-8
49	-7.442920207977295	0.6666547060012817	1164	4.2720309068045026e-8
50	-7.442925453186035	0.6666425466537476	1182	3.461551401073848e-8
51	-7.442947864532471	0.6666326522827148	1163	6.345906911064958e-8
52	-7.442945957183838	0.6666221618652344	1166	3.1582729320689396e-8
53	-7.442945957183838	0.666611909866333	1148	8.900040882053872e-8
54	-7.442958831787109	0.666602611541748	1118	2.2764796270280385e-8
55	-7.442960739135742	0.6665939092636108	1122	8.281005392518637e-8
56	-7.442972183227539	0.6665849685668945	1135	7.717677164009729e-8
57	-7.4429731369018555	0.6665771007537842	1139	1.1606513794504281e-7
58	-7.44297456741333	0.6665703654289246	1134	8.957841401979749e-8
59	-7.442986965179443	0.6665630340576172	1132	6.972597077492537e-8
60	-7.442980766296387	0.666555643081665	1094	9.305168191531266e-8
61	-7.442987442016602	0.6665499210357666	1135	1.3100946105737421e-8
62	-7.442996025085449	0.6665453910827637	1113	3.805662274203314e-8
63	-7.443005084991455	0.6665390729904175	1117	1.1009706213371828e-7
64	-7.443002223968506	0.6665343046188354	1125	7.225663978260854e-8
65	-7.442996978759766	0.666529655456543	1119	4.112084539542593e-8
66	-7.442999362945557	0.6665259003639221	1111	6.451274714436295e-8
67	-7.4430060386657715	0.6665205955505371	1094	7.261557755100512e-8
68	-7.443009376525879	0.6665172576904297	1101	2.0359083308107984e-9
69	-7.443023681640625	0.6665141582489014	1118	3.591572905747853e-8
70	-7.443020343780518	0.6665093898773193	1119	2.8055509915247967e-8
71	-7.443017959594727	0.6665066480636597	1109	2.0073763096206676e-8
72	-7.443013668060303	0.6665031909942627	1085	3.1187063598281384e-8
73	-7.443021297454834	0.6664993762969971	1081	1.3115555930198752e-7
74	-7.443021774291992	0.6664962768554688	1122	1.0450369458681052e-8
75	-7.443024158477783	0.6664947867393494	1091	8.123342354338092e-8
76	-7.443026542663574	0.6664928197860718	1110	5.798491642394765e-8
77	-7.443037509918213	0.6664901375770569	1088	1.1906907815273371e-7
78	-7.443033218383789	0.6664884090423584	1086	6.234364491319866e-8
79	-7.443026542663574	0.6664860248565674	1112	7.881683927735139e-8
80	-7.443030834197998	0.6664828062057495	1124	3.370459822349403e-8
