# sweep	energy	spin	maxdim	dmrg_maxerr
1	-7.294383525848389	0.4683397114276886	50	4.161446122452617e-5
2	-7.344138145446777	0.46894556283950806	100	2.0013791072415188e-5
3	-7.374490261077881	0.4702361822128296	150	1.5281289961421862e-5
4	-7.391961097717285	0.4692945182323456	200	6.231297902559163e-6
5	-7.402285575866699	0.4681691825389862	300	5.493416779245308e-7
6	-7.4073052406311035	0.46751391887664795	400	1.2256813874955697e-7
7	-7.409444808959961	0.4669695496559143	500	3.1817190659921835e-8
8	-7.410367965698242	0.46670976281166077	700	3.4270504212230435e-9
9	-7.410821437835693	0.466421514749527	900	9.334963912976946e-10
10	-7.411104202270508	0.4661206603050232	1200	1.3447802593713476e-10
11	-7.411313056945801	0.4658350348472595	1309	9.999439470886884e-11
12	-7.411465167999268	0.46554091572761536	1357	9.994572530702683e-11
13	-7.411604404449463	0.4652576446533203	1403	1.2638162161238142e-7
14	-7.411740779876709	0.46496322751045227	1456	1.250887606829565e-7
15	-7.411838531494141	0.46469250321388245	1489	1.4740925280420925e-7
16	-7.411933898925781	0.4644206762313843	1535	6.878974545543315e-8
17	-7.412024021148682	0.46416908502578735	1592	9.081638552288496e-8
18	-7.412081241607666	0.46393856406211853	1611	9.576918102993659e-8
19	-7.4121503829956055	0.46373429894447327	1629	1.261281852293905e-7
20	-7.412208557128906	0.4635384976863861	1637	4.027713274012967e-8
21	-7.412242412567139	0.46336981654167175	1623	1.0793546323384362e-7
22	-7.41229772567749	0.463207483291626	1604	1.2856000353167474e-7
23	-7.41234827041626	0.46306830644607544	1599	7.398269730174434e-8
24	-7.412367820739746	0.4629192352294922	1623	1.1854093884267058e-7
25	-7.412411689758301	0.4627840518951416	1616	1.9189796773844137e-7
26	-7.412428855895996	0.4626477360725403	1639	1.809113712170074e-7
27	-7.412447929382324	0.462514728307724	1641	1.0840332009820486e-7
28	-7.412484645843506	0.4623965919017792	1655	2.1451660359161906e-7
29	-7.412501335144043	0.4622744917869568	1663	1.8024444159436825e-7
30	-7.412515640258789	0.4621647596359253	1678	7.377391852969595e-8
31	-7.412536144256592	0.46205398440361023	1681	6.563803367498622e-8
32	-7.41255521774292	0.46195417642593384	1668	1.3045988112025952e-7
33	-7.412552833557129	0.46185731887817383	1659	3.717566343652834e-8
34	-7.412578582763672	0.4617694914340973	1667	7.74446036189147e-8
35	-7.41257905960083	0.46168410778045654	1658	8.070443868746224e-8
36	-7.412578105926514	0.4616032838821411	1686	1.1184923209839326e-7
37	-7.412607669830322	0.46153172850608826	1690	9.966534975092145e-8
38	-7.4126129150390625	0.46146443486213684	1668	1.7847138167326193e-7
39	-7.412624359130859	0.4613969027996063	1731	7.560099390957475e-8
40	-7.412635326385498	0.4613400101661682	1714	7.395743750748807e-8
41	-7.412642002105713	0.46128103137016296	1730	1.5892675264694844e-7
42	-7.4126667976379395	0.46122676134109497	1754	1.3959547118247428e-7
43	-7.412675857543945	0.4611702263355255	1749	1.242061244965953e-7
44	-7.412670612335205	0.46112194657325745	1733	3.9412039853914393e-8
45	-7.412667274475098	0.46107548475265503	1817	1.4361492617354088e-7
46	-7.412684440612793	0.46103107929229736	1780	8.525747574594789e-8
47	-7.412692546844482	0.46098628640174866	1805	9.87091368642723e-8
48	-7.412694931030273	0.460947185754776	1801	6.705775490445376e-8
49	-7.412697792053223	0.4609125256538391	1817	4.085340421511319e-8
50	-7.412698745727539	0.46087902784347534	1822	8.652308025602906e-8
51	-7.412713050842285	0.4608490467071533	1857	1.0268448846773026e-7
52	-7.412703514099121	0.460819274187088	1827	1.1153586143564098e-7
53	-7.412713050842285	0.4607909023761749	1843	1.1163402291458624e-7
54	-7.412725925445557	0.460766464471817	1862	8.947694851713095e-8
55	-7.412721157073975	0.4607385993003845	1827	7.044091887564718e-8
56	-7.412735462188721	0.4607144892215729	1869	9.194256733735529e-8
57	-7.412739276885986	0.4606914520263672	1868	1.1412188882786722e-7
58	-7.412734508514404	0.46067196130752563	1873	4.657521301965062e-8
59	-7.4127302169799805	0.4606493413448334	1881	9.703530423621487e-9
60	-7.412740230560303	0.46063029766082764	1894	1.1998290005976742e-7
61	-7.412744522094727	0.46061238646507263	1906	4.494894767503865e-8
62	-7.41274356842041	0.46059516072273254	1869	6.712522804264154e-8
63	-7.412765979766846	0.4605800211429596	1891	3.9887257941018106e-8
64	-7.412749290466309	0.4605613946914673	1894	1.31732406316587e-7
65	-7.412781715393066	0.46054670214653015	1893	6.056827572820112e-8
66	-7.412779331207275	0.46053221821784973	1928	6.825630549656125e-8
67	-7.412764549255371	0.4605155885219574	1924	8.688632391340434e-8
68	-7.41276216506958	0.46050068736076355	1933	1.2902246737667156e-7
69	-7.4127655029296875	0.46048831939697266	1927	4.733726655103965e-8
70	-7.412782669067383	0.46047624945640564	1949	7.022801185030403e-8
71	-7.412785530090332	0.46046194434165955	1907	1.310177424329595e-7
72	-7.412775039672852	0.4604504108428955	1998	1.5556921084680653e-7
73	-7.4127726554870605	0.46043822169303894	1954	1.6739473096549773e-7
74	-7.412783145904541	0.4604279398918152	1973	8.127665296342457e-8
75	-7.412782669067383	0.4604175388813019	1939	3.446332996759338e-8
76	-7.412785053253174	0.4604030251502991	1937	1.2672768434640602e-7
77	-7.412772178649902	0.46039441227912903	1972	1.2174155017419253e-7
78	-7.412777900695801	0.4603838324546814	1988	1.8222209519080934e-7
79	-7.412801265716553	0.46037641167640686	1921	7.246033106866889e-8
80	-7.4127960205078125	0.46036598086357117	1994	9.852770688212331e-8
